athlete_id,age,gender,height_cm,weight_kg,monthly_income_usd,previously_joined_gym,exercise_plan,balanced_diet,athletics_food_supplements,medical_limitations,smoker,sleeping_habits,workout_prefer_time,frequency_of_play_sports,regular_exercise,preferred_sports,level_of_fittness,motivation_for_workingout
125710,18,M,150,69,918,no,no,yes,sometimes,no,FALSE,less than 8 hrs,PM,Less often,As a group,Running,Unfit,1
125666,23,F,155,69,21084,no,no,no,no,no,FALSE,less than 8 hrs,PM,Less often,In a pair,Running,Poor,1.5
279,25,F,174,67,79262,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,Alone,Roller scating,Good,4.5
355,27,M,173,68,83016,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Extreme sports,Perfect,4.5
122847,26,M,180,84,55222,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Martial arts,Good,4.5
123800,20,M,168,67,10160,no,no,yes,yes,no,FALSE,night regularly,AM,Every day,As a group,Roller scating,Good,3.5
125849,23,M,173,72,18481,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Several times per month,As a group,Running,Poor,1
122149,23,F,168,66,5203,yes,yes,yes,yes,no,FALSE,night regularly,PM,Once per week,As a group,Roller scating,Good,4.5
125835,22,F,171,78,15714,no,no,no,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Roller scating,Unfit,1.5
123311,21,M,156,61,4313,yes,yes,yes,yes,no,FALSE,less than 8 hrs,PM,Every day,As a group,Riding a bike,Good,4
125712,21,M,152,69,7786,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Roller scating,Poor,1
123665,22,F,166,69,39235,yes,yes,no,sometimes,no,FALSE,less than 8 hrs,PM,Once per week,In a pair,Extreme sports,Average,3.5
126234,28,M,184,96,69456,no,no,no,sometimes,no,FALSE,less than 8 hrs,PM,Less often,Alone,Running,Unfit,1
124816,28,M,171,79,55196,no,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,As a group,Swimming,Good,3
122346,34,F,162,57,72697,yes,yes,yes,yes,no,FALSE,less than 8 hrs,PM,Every day,Alone,Roller scating,Perfect,3.5
122270,32,M,158,59,72277,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,Alone,Extreme sports,Perfect,4
341,31,M,174,66,71759,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,In a pair,Extreme sports,Perfect,4.5
126288,34,M,190,99,32929,yes,no,yes,no,no,FALSE,less than 8 hrs,PM,Several times per month,Alone,Running,Average,1.5
124789,30,F,175,78,50401,yes,no,no,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Roller scating,Average,3.5
122550,33,F,183,80,54822,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Every day,In a pair,Roller scating,Good,4.5
125723,22,M,153,70,20144,yes,no,no,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Running,Unfit,1
206,34,F,175,69,85116,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,As a group,Swimming,Perfect,4.5
126149,24,F,195,106,23870,no,no,yes,no,yes,FALSE,less than 8 hrs,PM,Several times per month,Alone,Riding a bike,Poor,1
123468,20,F,165,66,36870,yes,yes,yes,yes,no,TRUE,less than 8 hrs,AM,Every other day,As a group,Swimming,Average,3
124545,27,F,163,67,96851,yes,yes,no,sometimes,no,FALSE,less than 8 hrs,PM,Once per week,As a group,Martial arts,Good,3
124898,26,M,182,87,64682,yes,yes,yes,sometimes,yes,FALSE,night regularly,PM,Every day,Alone,Swimming,Good,3.5
122907,34,M,196,99,50093,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Swimming,Good,4
122669,26,M,183,80,85043,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Martial arts,Perfect,3.5
185,29,F,173,68,87228,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Once per week,Alone,Extreme sports,Perfect,4
124683,25,F,176,80,64662,no,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Swimming,Average,3.5
123130,24,F,155,57,12158,no,yes,yes,sometimes,no,TRUE,less than 8 hrs,AM,Every day,In a pair,Riding a bike,Good,3
122793,32,M,179,84,99549,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Martial arts,Good,4.5
459,34,F,166,66,74460,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Once per week,Alone,Riding a bike,Perfect,4.5
124329,30,F,153,58,54476,yes,yes,yes,yes,no,TRUE,less than 8 hrs,PM,Once per week,In a pair,Martial arts,Good,3.5
122218,20,M,184,75,13324,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Swimming,Good,4.5
123051,35,F,158,52,88038,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,Alone,Swimming,Perfect,4.5
360,28,M,169,67,79702,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Martial arts,Good,3.5
125683,23,M,151,66,11742,yes,no,no,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Running,Poor,1
122,34,F,169,66,86080,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,As a group,Running,Perfect,3.5
122356,27,M,163,56,70728,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Riding a bike,Perfect,4.5
406,29,F,168,68,72232,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Extreme sports,Perfect,4.5
124079,24,M,180,90,15514,yes,no,yes,sometimes,no,TRUE,night regularly,PM,Every day,In a pair,Martial arts,Average,3.5
124587,33,F,175,80,59100,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Every day,In a pair,Running,Good,4
123477,20,F,168,66,29867,yes,no,yes,sometimes,no,FALSE,night regularly,AM,Every other day,Alone,Swimming,Good,3.5
125504,21,M,150,69,23684,no,yes,yes,no,no,FALSE,less than 8 hrs,PM,Several times per month,As a group,Riding a bike,Poor,1
123614,20,M,166,74,4095,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Once per week,In a pair,Extreme sports,Good,3
124704,26,M,170,80,54528,no,yes,no,sometimes,no,FALSE,night regularly,PM,Once per week,In a pair,Riding a bike,Average,3
124771,31,M,177,80,63602,yes,no,yes,yes,no,FALSE,less than 8 hrs,AM,Every other day,Alone,Martial arts,Average,3
124617,29,F,177,78,74917,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every other day,In a pair,Extreme sports,Good,3.5
124620,29,F,170,80,58530,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,Alone,Running,Good,3
123810,20,F,167,72,54763,no,yes,no,sometimes,no,FALSE,less than 8 hrs,AM,Every other day,As a group,Swimming,Good,3.5
125921,24,M,162,82,10764,no,yes,no,no,no,FALSE,less than 8 hrs,PM,Several times per month,Alone,Running,Poor,1.5
125882,21,F,165,73,4326,no,no,yes,no,no,TRUE,less than 8 hrs,PM,Less often,As a group,Running,Unfit,1
123844,21,F,162,67,47731,yes,yes,no,yes,no,FALSE,night regularly,AM,Every day,In a pair,Swimming,Average,3
124571,28,M,178,80,62328,yes,yes,yes,sometimes,yes,TRUE,less than 8 hrs,AM,Every day,Alone,Riding a bike,Good,3.5
123212,20,M,158,64,14977,yes,yes,yes,yes,no,TRUE,less than 8 hrs,PM,Once per week,In a pair,Running,Average,3
124573,25,F,172,78,77532,no,yes,no,yes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Swimming,Good,3.5
124879,25,F,187,90,56108,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every other day,In a pair,Martial arts,Average,3
122792,32,F,184,82,63438,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,As a group,Extreme sports,Perfect,3.5
515,26,F,172,66,74334,yes,yes,yes,yes,no,FALSE,less than 8 hrs,PM,Every day,In a pair,Running,Good,4
123372,22,F,154,58,7243,yes,no,no,sometimes,no,FALSE,night regularly,AM,Once per week,In a pair,Martial arts,Average,3.5
124067,24,M,187,88,32457,yes,no,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Martial arts,Good,3
124084,20,M,186,92,16481,no,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Extreme sports,Average,3.5
122639,28,F,183,76,73333,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Swimming,Perfect,4.5
124613,28,M,173,78,61746,no,yes,no,sometimes,no,TRUE,night regularly,AM,Once per week,In a pair,Martial arts,Good,4
123683,24,F,168,69,48128,yes,no,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Roller scating,Good,4
335,28,F,174,68,76082,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Running,Perfect,3.5
520,30,F,176,69,86130,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Martial arts,Perfect,4.5
110049,18,F,159,58,13590,yes,yes,yes,yes,no,FALSE,night regularly,PM,Once per week,As a group,Martial arts,Perfect,3.5
125823,20,F,164,82,13430,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Average,1
125394,18,M,151,67,6379,no,no,no,sometimes,no,TRUE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Unfit,1
124643,31,F,174,79,52952,yes,yes,yes,yes,no,TRUE,night regularly,AM,Once per week,Alone,Roller scating,Average,4
123368,20,F,157,60,24584,no,yes,yes,sometimes,no,FALSE,night regularly,AM,Once per week,As a group,Swimming,Good,3.5
126022,19,M,180,93,5770,no,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Less often,As a group,Running,Poor,1
126233,31,F,185,97,72575,no,no,yes,no,yes,FALSE,less than 8 hrs,PM,Less often,Alone,Martial arts,Poor,1
124368,33,F,158,61,95108,no,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Riding a bike,Good,3.5
125132,53,F,174,76,110749,yes,no,no,yes,no,TRUE,night regularly,AM,Every other day,In a pair,Extreme sports,Good,3.5
122354,25,F,154,51,68735,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,In a pair,Roller scating,Perfect,3.5
123210,23,F,151,65,5893,no,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Roller scating,Average,3
125578,21,M,158,69,22558,no,no,no,no,no,FALSE,less than 8 hrs,PM,Several times per month,Alone,Swimming,Poor,1.5
122814,26,M,182,75,56028,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Swimming,Good,4.5
110069,23,M,164,50,4684,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Every day,Alone,Martial arts,Perfect,3.5
125302,23,F,156,67,2013,no,no,no,no,no,FALSE,night regularly,PM,Several times per month,Alone,Running,Unfit,1
125965,20,F,162,70,1405,no,no,no,sometimes,yes,TRUE,less than 8 hrs,PM,Less often,Alone,Running,Poor,1
110125,18,F,161,54,14095,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,Alone,Extreme sports,Perfect,3.5
123796,24,M,167,73,27692,yes,no,yes,yes,no,TRUE,night regularly,AM,Every other day,In a pair,Extreme sports,Good,3
125574,24,F,154,66,1176,no,no,no,sometimes,no,FALSE,less than 8 hrs,PM,Less often,In a pair,Running,Unfit,1.5
125996,23,M,162,70,1460,no,no,no,sometimes,no,FALSE,less than 8 hrs,PM,Less often,Alone,Roller scating,Unfit,1.5
123942,22,F,178,85,44582,yes,no,no,yes,no,TRUE,less than 8 hrs,AM,Every day,In a pair,Extreme sports,Good,3.5
124298,33,M,157,58,92276,yes,yes,no,sometimes,yes,FALSE,less than 8 hrs,PM,Once per week,As a group,Extreme sports,Good,3.5
110122,19,M,159,49,1479,yes,yes,yes,yes,no,FALSE,night regularly,PM,Once per week,As a group,Roller scating,Perfect,4.5
124728,34,F,170,78,72930,no,no,yes,sometimes,no,TRUE,night regularly,AM,Every day,Alone,Martial arts,Good,3
124023,24,M,175,84,41540,yes,yes,no,sometimes,no,TRUE,night regularly,AM,Once per week,As a group,Swimming,Average,3
130,29,F,167,66,75929,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Martial arts,Good,4.5
137,25,M,176,65,80526,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Martial arts,Perfect,4.5
126078,18,F,185,93,12367,no,no,no,no,no,TRUE,less than 8 hrs,PM,Several times per month,As a group,Roller scating,Unfit,1
288,30,F,168,65,77024,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Every day,In a pair,Extreme sports,Perfect,3.5
125763,22,M,172,72,10173,no,no,yes,no,no,FALSE,night regularly,PM,Less often,Alone,Running,Unfit,1
122283,28,M,151,54,60362,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Riding a bike,Perfect,4.5
238,26,M,168,68,76362,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,Alone,Swimming,Perfect,4
124382,32,M,153,64,94923,yes,yes,yes,yes,no,TRUE,night regularly,AM,Every day,As a group,Running,Average,3
124108,18,F,181,88,25971,yes,no,no,yes,no,FALSE,less than 8 hrs,AM,Every other day,In a pair,Martial arts,Average,4
123179,24,M,155,61,15766,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Roller scating,Good,3
124754,25,F,171,79,63699,no,yes,yes,yes,yes,FALSE,night regularly,AM,Every day,In a pair,Swimming,Good,3
125316,23,M,152,67,13005,no,yes,yes,no,no,FALSE,less than 8 hrs,PM,Less often,As a group,Running,Poor,1
271,33,F,166,67,87135,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,As a group,Extreme sports,Perfect,3.5
124217,19,M,196,103,3061,yes,no,yes,yes,no,FALSE,less than 8 hrs,AM,Every other day,In a pair,Swimming,Good,3
125046,44,M,186,89,119925,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,As a group,Riding a bike,Average,3.5
241,34,M,175,68,74818,yes,yes,yes,yes,no,FALSE,less than 8 hrs,PM,Once per week,As a group,Swimming,Perfect,4.5
123285,21,F,154,59,15276,yes,yes,no,yes,no,FALSE,night regularly,PM,Once per week,In a pair,Martial arts,Good,4
123448,24,F,151,65,22238,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Once per week,Alone,Riding a bike,Good,3.5
125566,24,F,155,68,22324,no,no,yes,no,no,FALSE,night regularly,PM,Less often,Alone,Riding a bike,Poor,1
124962,43,M,164,64,94660,yes,yes,yes,yes,no,TRUE,night regularly,AM,Once per week,Alone,Running,Average,3.5
168,27,M,176,66,76476,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,Alone,Swimming,Perfect,4.5
126267,33,M,192,108,27263,no,no,no,no,no,FALSE,night regularly,PM,Less often,Alone,Running,Unfit,2
125501,21,M,150,68,12695,no,no,no,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Roller scating,Average,1
124233,27,M,152,63,53378,yes,no,yes,sometimes,no,FALSE,night regularly,AM,Once per week,In a pair,Martial arts,Good,4
122176,20,M,173,69,10752,yes,no,yes,yes,no,FALSE,night regularly,PM,Once per week,In a pair,Swimming,Good,4.5
123123,18,F,152,59,19639,no,no,yes,sometimes,no,FALSE,night regularly,PM,Every other day,Alone,Martial arts,Good,3.5
122155,19,M,174,66,17411,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,As a group,Extreme sports,Good,3.5
123320,20,M,153,64,22754,yes,yes,yes,sometimes,no,TRUE,night regularly,AM,Every day,In a pair,Martial arts,Average,3.5
122318,29,M,162,56,70487,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Martial arts,Good,4
175,31,F,176,69,83664,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,Alone,Swimming,Perfect,4.5
123854,23,M,162,66,12275,yes,yes,yes,sometimes,no,FALSE,night regularly,PM,Once per week,Alone,Swimming,Good,3
156,27,F,172,69,72578,yes,no,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Extreme sports,Perfect,4.5
319,28,F,167,67,72859,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Swimming,Perfect,3.5
122343,25,F,159,55,73975,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,Alone,Extreme sports,Perfect,3.5
300,25,F,168,69,78552,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Riding a bike,Good,4.5
125194,45,F,196,108,77431,no,no,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Martial arts,Average,3.5
122695,27,M,178,77,84652,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Martial arts,Perfect,3.5
123476,20,M,162,73,19147,yes,yes,yes,sometimes,no,TRUE,less than 8 hrs,PM,Once per week,As a group,Riding a bike,Average,4
123390,18,M,151,64,23581,yes,no,no,yes,no,TRUE,less than 8 hrs,PM,Once per week,In a pair,Swimming,Good,4
124174,21,F,180,88,8934,no,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Extreme sports,Average,3
126125,19,M,197,110,11746,no,no,yes,no,no,FALSE,night regularly,PM,Less often,Alone,Running,Unfit,1
124230,33,M,153,62,52703,yes,yes,yes,yes,no,FALSE,less than 8 hrs,PM,Every day,As a group,Martial arts,Good,4
123136,19,M,157,65,24846,no,yes,no,yes,no,TRUE,night regularly,AM,Every other day,In a pair,Swimming,Good,3.5
125034,44,M,192,87,113622,no,yes,yes,yes,no,FALSE,less than 8 hrs,PM,Every other day,As a group,Roller scating,Average,3.5
122268,31,F,161,49,51261,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Martial arts,Good,4
124172,24,F,182,89,1827,no,no,no,sometimes,no,FALSE,less than 8 hrs,PM,Every day,As a group,Martial arts,Good,4
123462,20,M,163,73,28206,no,yes,yes,yes,no,TRUE,night regularly,PM,Every other day,In a pair,Martial arts,Good,3
124026,21,F,176,84,18687,yes,yes,no,sometimes,no,FALSE,less than 8 hrs,AM,Once per week,Alone,Swimming,Good,3
125791,21,M,164,74,15141,no,no,yes,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Unfit,2
245,31,F,174,66,76061,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Once per week,As a group,Roller scating,Perfect,3.5
125697,22,F,152,66,5132,yes,no,yes,no,no,TRUE,less than 8 hrs,PM,Several times per month,In a pair,Running,Unfit,1.5
426,27,F,168,69,88623,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Swimming,Perfect,4
267,31,F,174,68,88889,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Once per week,In a pair,Extreme sports,Perfect,3.5
124253,25,F,157,62,78004,yes,no,yes,yes,no,FALSE,night regularly,AM,Every day,Alone,Roller scating,Average,3.5
125167,49,M,197,104,95004,no,yes,yes,sometimes,yes,FALSE,night regularly,AM,Every day,As a group,Swimming,Good,3.5
124649,31,F,174,80,64005,yes,yes,no,sometimes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Swimming,Good,3
447,31,M,169,67,75769,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Running,Perfect,4.5
126153,23,F,191,106,23942,no,no,no,no,no,FALSE,less than 8 hrs,PM,Less often,In a pair,Riding a bike,Poor,1.5
122738,31,M,186,80,51182,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,Alone,Riding a bike,Perfect,4
123925,19,F,171,77,12312,yes,yes,yes,yes,no,FALSE,night regularly,PM,Once per week,In a pair,Swimming,Average,3.5
123667,22,M,167,71,43867,no,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Every other day,Alone,Riding a bike,Good,3
123167,19,M,157,60,16235,no,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Roller scating,Good,3.5
122997,32,M,194,95,74477,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Swimming,Perfect,4.5
110067,24,F,158,54,1585,yes,yes,yes,yes,no,FALSE,night regularly,PM,Once per week,In a pair,Extreme sports,Good,3.5
125252,46,M,182,78,111618,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Swimming,Good,3
124113,18,F,181,88,43830,yes,yes,no,sometimes,no,FALSE,less than 8 hrs,AM,Every other day,In a pair,Swimming,Average,3
124539,30,M,164,69,93639,no,yes,no,sometimes,no,FALSE,less than 8 hrs,AM,Every other day,In a pair,Riding a bike,Average,3
125493,23,M,156,68,10047,no,no,yes,no,no,FALSE,night regularly,PM,Less often,Alone,Riding a bike,Unfit,1.5
126026,23,M,185,93,4028,no,no,yes,no,yes,FALSE,night regularly,PM,Less often,Alone,Riding a bike,Unfit,1.5
124106,23,F,181,92,34795,no,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Running,Good,3
124928,34,M,194,97,73095,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Once per week,In a pair,Martial arts,Good,3.5
123583,22,M,167,66,116,yes,yes,no,sometimes,no,FALSE,less than 8 hrs,AM,Every other day,As a group,Riding a bike,Average,3.5
124770,27,M,173,78,52457,yes,no,no,yes,yes,TRUE,less than 8 hrs,AM,Every day,In a pair,Running,Good,3.5
124160,19,F,183,92,20927,yes,yes,yes,yes,no,TRUE,night regularly,PM,Every day,Alone,Running,Average,3.5
124887,29,M,181,88,50426,no,no,yes,yes,no,FALSE,less than 8 hrs,AM,Every other day,In a pair,Riding a bike,Good,3
481,32,F,170,65,76728,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Extreme sports,Perfect,4.5
122864,27,F,180,77,55516,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Riding a bike,Perfect,4.5
122314,32,M,163,56,66624,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Swimming,Perfect,3.5
125176,54,F,198,106,76845,no,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Martial arts,Good,3
122548,28,M,180,79,79390,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Once per week,As a group,Swimming,Perfect,3.5
125537,23,M,158,69,14845,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Running,Poor,1
122202,19,M,181,78,16649,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,In a pair,Roller scating,Perfect,4.5
126143,22,M,198,97,22465,no,no,yes,no,yes,FALSE,less than 8 hrs,PM,Less often,Alone,Swimming,Unfit,1
351,31,M,172,65,80744,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Martial arts,Perfect,4.5
122671,31,M,184,77,99587,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Extreme sports,Perfect,4.5
122586,34,F,178,76,90197,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,Alone,Martial arts,Good,4.5
123487,23,F,165,68,51192,yes,no,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,Alone,Running,Average,3
122900,27,M,190,95,59842,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Swimming,Perfect,4.5
123875,22,F,166,73,54854,yes,no,yes,sometimes,no,FALSE,night regularly,AM,Every other day,In a pair,Swimming,Average,4
124926,29,M,196,107,62817,yes,yes,yes,yes,no,TRUE,night regularly,PM,Once per week,Alone,Roller scating,Good,3
122631,27,M,180,77,50463,yes,no,yes,yes,no,FALSE,less than 8 hrs,AM,Every day,As a group,Running,Perfect,4
124313,29,F,154,60,63196,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,Alone,Martial arts,Good,3.5
124664,25,F,176,79,72605,yes,no,no,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Swimming,Average,3
123386,20,F,156,60,21600,yes,no,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Martial arts,Average,3.5
122344,30,F,155,56,55490,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,In a pair,Swimming,Good,4.5
122532,26,F,152,52,56442,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Martial arts,Perfect,3.5
125496,20,F,157,68,18982,no,yes,no,no,no,TRUE,less than 8 hrs,PM,Less often,As a group,Riding a bike,Poor,1
123610,21,F,165,67,15293,yes,yes,no,yes,no,TRUE,less than 8 hrs,PM,Once per week,In a pair,Roller scating,Good,3
123713,22,M,162,68,16178,yes,no,no,yes,no,FALSE,night regularly,AM,Once per week,Alone,Swimming,Average,3
124600,31,F,174,78,51579,yes,no,yes,yes,no,FALSE,night regularly,AM,Every other day,In a pair,Extreme sports,Good,4
123791,24,M,166,69,16190,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every other day,As a group,Swimming,Average,3.5
244,25,M,168,69,73608,yes,yes,yes,yes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Extreme sports,Perfect,4
126407,47,M,189,99,124398,no,no,yes,no,yes,FALSE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Unfit,1
125509,20,M,159,68,22985,no,no,no,no,no,TRUE,less than 8 hrs,PM,Less often,Alone,Riding a bike,Poor,1.5
122122,19,M,174,65,17210,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,As a group,Extreme sports,Perfect,3.5
124399,32,M,150,63,82749,yes,no,no,yes,no,FALSE,less than 8 hrs,PM,Once per week,In a pair,Martial arts,Average,3
122421,34,M,152,55,62473,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Swimming,Good,4.5
124896,27,F,184,89,69010,yes,no,no,yes,no,TRUE,less than 8 hrs,PM,Every day,Alone,Swimming,Good,3.5
124882,30,M,180,84,63545,no,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,In a pair,Martial arts,Average,4
123992,21,M,171,80,2493,no,yes,yes,sometimes,no,TRUE,less than 8 hrs,AM,Every day,In a pair,Extreme sports,Good,3.5
122278,27,F,154,53,63584,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Martial arts,Perfect,3.5
126384,52,F,179,93,121420,no,no,no,sometimes,yes,FALSE,less than 8 hrs,PM,Several times per month,In a pair,Running,Poor,1
125983,22,M,164,81,10080,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,Alone,Running,Unfit,1.5
124975,43,F,169,63,87491,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Martial arts,Good,3
461,31,F,172,67,73088,yes,yes,yes,yes,no,FALSE,night regularly,AM,Every day,As a group,Riding a bike,Good,3.5
126369,36,M,194,98,96737,no,yes,yes,no,no,FALSE,less than 8 hrs,PM,Less often,In a pair,Roller scating,Unfit,2.5
123631,18,F,168,67,28251,no,yes,yes,sometimes,no,TRUE,less than 8 hrs,PM,Once per week,Alone,Roller scating,Good,4
122188,21,M,173,66,22358,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,As a group,Martial arts,Perfect,4.5
123885,19,F,162,72,11045,yes,yes,no,sometimes,no,FALSE,night regularly,AM,Every other day,Alone,Running,Good,3.5
126207,26,F,169,83,66670,no,no,yes,no,yes,FALSE,less than 8 hrs,PM,Less often,Alone,Swimming,Poor,1
124645,25,F,170,79,66255,no,yes,no,sometimes,no,TRUE,night regularly,AM,Every day,In a pair,Running,Average,3
124061,24,F,182,91,7557,no,yes,yes,yes,no,TRUE,night regularly,PM,Every day,Alone,Roller scating,Average,3.5
124713,32,F,173,78,63275,no,no,no,yes,no,TRUE,night regularly,AM,Every other day,Alone,Riding a bike,Good,3
